"","x","y","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"142",11479609.9474,3899983.7206,41.86,41.4576315789474,0.153569672726171,0.233360691103519,2.86280492142704,0,47.3684210526316,100,41.2171,41.304,41.3205,41.3432,41.3545,41.3637,41.38045,41.3848,41.41055,41.4425,41.46415,41.488,41.53065,41.552,41.568,41.6042,41.6229,41.6383,41.66585,0,0,0,0,0,0,0,0,0
"143",11479642.7558,3899983.7206,49.006,35.0227429245283,16.4993146659984,-1.04721909567462,2.41146447136298,0.56581247169054,69.8899371069182,100,4.553,4.6121,4.726,13.408,24.86875,34.8191,41.565,41.7408,41.88595,41.972,42.07715,42.208,44.8608000000001,48.2103,48.314,48.375,48.43435,48.4919,48.556,17.309205350118,19.1188040912667,20.5350118017309,22.816679779701,24.9409913453973,26.9866247049567,29.6616837136113,31.2352478363493,64.7521636506688
"266",11478625.6954,3899950.9122,73.252,60.6830545073375,15.7729216338748,-2.19291253691036,6.38316281580622,0.692988447653219,78.8259958071279,99.9301187980433,15.3455,28.436,58.834,60.365,61.6125,62.668,63.5445,64.373,65.065,65.778,66.492,67.177,67.784,68.525,69.298,69.909,70.481,71.011,71.5805,0.0699300699300699,0.0699300699300699,8.88111888111888,10.2797202797203,11.8881118881119,11.8881118881119,11.8881118881119,14.4755244755245,51.3286713286713
"291",11479445.9054,3899950.9122,33.739,14.8542424242424,6.84613702736731,-0.251145412358578,2.09410864868216,0.827115562523951,62.778730703259,100,3.532,4.6714,5.3952,6.3832,7.413,10.9946,13.255,16.467,16.7396,16.802,16.9,17.3142,17.5922,19.1816,19.479,20.004,21.3978,22.729,25.093,3.08924485125858,22.7688787185355,29.0617848970252,35.4691075514874,53.7757437070938,81.6361556064073,91.533180778032,97.9405034324943,99.7139588100686
"292",11479478.7138,3899950.9122,45.678,27.7078612051456,6.05549719428705,-0.0321430755057955,5.04807925179278,0.602935261952987,69.532836831415,100,16.981,18.6692,20.806,23.9848,25.838,27.3346,28.327,28.378,28.417,28.445,28.4708,28.498,28.5374,28.5782,28.658,30.25,31.0982,35.3952,38.5548,0.203252032520325,0.880758807588076,0.948509485094851,5.21680216802168,18.7669376693767,30.2845528455285,87.5338753387534,92.9539295392954,96.4769647696477
"293",11479511.5222,3899950.9122,68.155,55.5842222222222,13.4745506013979,-0.661198782614505,1.91061588021307,0.436113527068753,59.3869731800766,100,28.558,42.477,42.5903,42.6392,42.691,42.797,45.167,45.5346,65.6623,65.757,65.8252,65.9062,66.0443,66.1742,66.3555,66.5996,66.7997,67.126,67.384,0,0,0,0,8.82352941176471,8.82352941176471,40.6649616368286,40.6649616368286,41.5601023017903
"296",11479609.9474,3899950.9122,47.685,41.9122339285714,1.32212427484379,2.27937310148444,8.77414612325606,0.315701211133736,34.6428571428571,100,40.95565,40.9948,41.045,41.0678,41.095,41.126,41.15665,41.1952,41.22355,41.2685,41.3459,41.477,41.886,42.2197,42.44125,42.6114,42.77745,43.071,44.6302,0,0,0,0,0,0,0,0,88.3720930232558
"297",11479642.7558,3899950.9122,48.573,33.689987394958,18.569692615817,-0.833449378842629,1.80818774538727,0.547112278477004,69.0756302521008,99.9159663865546,3.70195,4.0177,4.335,6.3452,6.627,25.149,41.067,41.2712,41.5873,42.483,47.3526,47.4454,47.503,47.5583,47.64275,47.7982,47.93365,48.043,48.154,17.4936921783011,27.5862068965517,28.4272497897393,29.1841883936081,29.7729184188394,30.5298570227082,30.9503784693019,31.7073170731707,50.5466778805719
"447",11479511.5222,3899918.1038,74.937,67.6587792732167,6.28412742068956,-4.57612060627347,27.4480079375502,0.427104879718415,53.835800807537,100,65.864,66.5605,66.767,66.876,67.038,67.1865,67.346,67.49,67.63,67.7775,67.9455,68.1,68.274,68.4735,68.667,72.061,72.4355,72.554,72.912,0,0,0,1.41414141414141,1.95286195286195,2.49158249158249,2.96296296296296,3.2996632996633,37.9124579124579
"448",11479544.3306,3899918.1038,75.041,72.8430281690141,2.73702211980599,-0.849027994841394,1.74621124388366,0.199505087712986,69.7183098591549,100,68.58525,68.6141,68.66,68.7452,68.835,70.6492,74.33945,74.431,74.48045,74.5255,74.551,74.5894,74.6365,74.6749,74.73,74.7588,74.80805,74.8663,74.948,0,0,0,0,0,0,0,0,0
