"","x","y","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"1201",11474229.3698,3899754.0618,56.135,15.6354218377088,6.03027493894434,4.23341556486665,27.1592108693956,0.573691356370878,44.1527446300716,99.8806682577566,11.39175,11.501,11.556,11.626,11.73175,12.074,13.0365,13.206,13.58775,14.619,15.46425,16.27,16.92,17.338,17.8855,18.468,19.0895,19.6765,20.30525,0.477611940298507,3.16417910447761,64.5373134328358,98.089552238806,98.089552238806,98.089552238806,98.089552238806,98.4477611940299,98.7462686567164
"13431",11473901.2858,3897129.3898,28.617,20.5076477850399,4.80090368689932,-0.512975983811072,3.20224881323039,0.852205693114147,52.5780682643428,99.5642701525055,12.8298,14.1892,15.1712,16.0058,16.806,17.6578,18.4692,19.1744,19.8848,20.964,21.7604,22.5292,23.1642,23.9378,24.52,25.2448,25.8366,26.5752,27.2166,0.436046511627907,0.508720930232558,0.726744186046512,1.81686046511628,10.7558139534884,27.1802325581395,45.6395348837209,63.4447674418605,84.5203488372093
"15232",11472752.9918,3896735.689,26.117,18.1575823045267,2.8828443401638,0.534640740993186,2.60786618262081,0.734536100966193,44.8559670781893,100,14.13675,14.733,15.153,15.573,15.94225,16.2791,16.6704,17.084,17.3939,17.7385,18.1512,18.486,18.91,19.3287,19.99825,20.8198,21.60945,22.3869,23.4755,0,0,0,0,0.411946446961895,21.9361483007209,56.951596292482,80.8444902162719,95.1596292481977
"15233",11472785.8002,3896735.689,20.615,14.8738830798479,2.29694347656977,0.0090522811924875,2.12209271572483,0.725813657976283,50.3802281368821,100,11.154,11.778,12.23355,12.6496,13.0105,13.4349,13.80295,14.1258,14.5358,14.8915,15.27415,15.6076,15.951,16.3607,16.67825,17.042,17.46445,17.9145,18.55445,0,0,0,0,0.856327307326356,16.0799238820171,43.6726926736441,72.2169362511893,94.9571836346337
"15384",11472720.1834,3896702.8806,37.88,33.6903312820513,2.57512855921894,-0.37132284876314,2.26041492812892,0.62735011187087,52.7179487179487,100,29.0354,30.0436,30.6799,31.304,31.802,32.3286,32.7209,33.1902,33.5186,33.93,34.2797,34.7038,35.0209,35.4466,35.8415,36.2212,36.6536,37.0052,37.3683,0,0,0,0,0,0,0,11.8069815195072,52.258726899384
"15385",11472752.9918,3896702.8806,37.725,29.5804603174603,4.38891035653571,0.191135405489346,1.92891167734299,0.76335887086966,46.031746031746,100,23.06375,23.939,24.63525,25.4076,26.131,26.7053,27.2606,27.778,28.39515,29.0015,29.7662,30.486,31.394,32.2692,33.29675,34.2118,35.22765,35.984,36.8486,0,0,0,0,0,2.78330019880716,27.4353876739563,58.2504970178926,77.9324055666004
"15386",11472785.8002,3896702.8806,35.568,25.4974556603774,4.72792525742208,0.132070810329711,1.91593153260336,0.800044157133901,48.6792452830189,100,18.4449,19.0963,19.92955,20.7128,21.406,22.2407,23.0566,23.7412,24.5488,25.2035,26.01905,26.855,27.752,28.565,29.44975,30.3408,31.1565,32.101,33.1071,0,0,0,0,1.2275731822474,24.3626062322946,47.780925401322,69.3106704438149,89.5184135977337
"15537",11472720.1834,3896670.0722,34.179,24.9619011566772,4.22622762267259,-0.28992296217425,2.13146042185507,0.780376531724073,54.3638275499474,100,17.6505,18.608,19.6075,20.709,21.684,22.587,23.495,24.29,24.93,25.67,26.2365,26.853,27.308,27.828,28.2435,28.69,29.274,29.972,31.136,0,0,0,0,2.73684210526316,18.9473684210526,38.4210526315789,65.5789473684211,93.3684210526316
"15538",11472752.9918,3896670.0722,40.65,32.2006208053691,3.22227592105828,0.486307620010825,2.53226932432908,0.681197623877863,44.9664429530201,100,27.6455,28.3075,28.85925,29.301,29.728,30.1535,30.5635,30.968,31.285,31.7295,32.198,32.71,33.12375,33.682,34.3055,35.116,35.9315,36.9855,38.2725,0,0,0,0,0,0,10.9243697478992,58.9915966386555,88.5714285714286
"15539",11472785.8002,3896670.0722,40.111,35.1838970588235,2.52456384444954,-0.309580376525772,2.06623694235664,0.60513555855631,53.2352941176471,100,30.762,31.559,32.1409,32.6768,33.226,33.7227,34.112,34.6448,34.99155,35.477,35.88325,36.162,36.5847,36.9933,37.37575,37.6828,38.06435,38.4261,38.68605,0,0,0,0,0,0,0,14.720314033366,58.7831207065751
"15686",11472588.9498,3896637.2638,32.446,22.4996034318398,5.31987610333148,0.697000590676754,1.86138598392165,0.713440838368244,32.6024785510009,100,16.5558,17.221,17.6922,18.1114,18.467,18.8636,19.205,19.6036,19.9366,20.276,20.6166,20.9898,21.4234,25.1266,28.876,29.7442,30.4386,31.0266,31.5442,0,0,0,0,2.67175572519084,38.1679389312977,67.7480916030534,70.324427480916,76.8129770992366
"15691",11472752.9918,3896637.2638,29.197,24.0471375661376,1.75946421872902,0.709792591335203,2.64130020648062,0.551222374449283,43.1746031746032,100,21.8912,22.1108,22.3042,22.4508,22.589,22.721,22.9346,23.1832,23.4114,23.691,23.9468,24.1918,24.522,24.7906,25.181,25.5612,26.175,26.7312,27.4944,0,0,0,0,0,0,0,43.8559322033898,85.593220338983
