"","x","y","zmax","zmean","zsd","zskew","zkurt","zentropy","pzabovezmean","pzabove2","zq5","zq10","zq15","zq20","zq25","zq30","zq35","zq40","zq45","zq50","zq55","zq60","zq65","zq70","zq75","zq80","zq85","zq90","zq95","zpcum1","zpcum2","zpcum3","zpcum4","zpcum5","zpcum6","zpcum7","zpcum8","zpcum9"
"378",11472326.4826,3904937.789,17.46,15.58,1.63697892472689,0.672944390688116,1.5,0.220218789003847,33.3333333333333,100,14.504,14.538,14.572,14.606,14.64,14.674,14.708,14.742,14.776,14.81,15.075,15.34,15.605,15.87,16.135,16.4,16.665,16.93,17.195,0,0,0,0,0,0,0,0,100
"436",11474229.3698,3904937.789,20.97,15.0966768759571,4.14761138458968,-0.594433756677961,2.7748853998212,0.860286851100683,52.833078101072,99.6937212863706,6.822,10.356,11.116,11.548,12.16,12.642,13.282,13.84,14.69,15.47,16.286,17.06,17.75,18.202,18.79,19.256,19.624,20.078,20.484,0.306748466257669,1.07361963190184,4.14110429447853,7.05521472392638,10.8895705521472,29.4478527607362,45.0920245398773,58.7423312883436,75.920245398773
"1272",11471539.081,3904740.9386,42.33,26.2309270516717,9.34984738759038,0.405584735456011,1.73473563907812,0.831452224996334,36.6261398176292,100,14.2755,15.588,16.6455,17.532,18.275,19.006,19.7495,22.38,23.386,24.46,25.067,25.59,26.6315,34.51,37.0325,38.366,39.37,40.223,41.133,0,0,1.21765601217656,16.7427701674277,37.8995433789954,59.0563165905632,68.3409436834094,69.4063926940639,79.4520547945205
"1273",11471571.8894,3904740.9386,40.99,26.514185520362,3.30063889808809,1.45329597808451,6.04721083623226,0.562104016529657,45.9276018099548,100,23.2,23.39,23.4915,23.552,23.61,23.72,24.0235,24.804,25.22,25.855,26.691,27.16,28.1425,28.694,28.79,28.898,29.02,29.129,31.482,0,0,0,0,0,39.0022675736961,70.0680272108844,96.1451247165533,97.7324263038549
"1274",11471604.6978,3904740.9386,33.7,28.4804957507082,3.41552835419058,-0.444595585208997,1.76926013355503,0.607326109589631,60.7648725212465,100,23.19,23.31,23.38,23.49,24.445,26.79,27.7275,28.55,29.1525,29.525,29.885,30.16,30.42,30.815,31.25,31.64,32.0925,32.555,32.825,0,0,0,0,0,0,21.8439716312057,30.9219858156028,63.8297872340425
"1424",11471506.2726,3904708.1302,27.57,18.7901820940819,3.77903269537166,0.363052224566143,2.23853568424524,0.778737427052368,42.4886191198786,100,13.219,14.118,14.815,15.46,16.02,16.528,16.983,17.442,17.831,18.29,18.559,19.03,19.501,19.99,22.315,22.86,23.529,24.352,25.492,0,0,0,0,8.35866261398176,30.3951367781155,63.0699088145897,73.4042553191489,92.2492401215805
"1425",11471539.081,3904708.1302,28.26,25.3266081871345,2.07951978545879,-1.04615691527306,3.8267431819173,0.593272501957012,56.4327485380117,100,20.5355,22.771,23.292,23.732,24.15,24.543,24.8075,25.21,25.47,25.76,26.001,26.26,26.4395,26.79,26.9875,27.096,27.38,27.61,27.75,0,0,0,0,0,0,2.93255131964809,8.79765395894428,44.574780058651
"1427",11471604.6978,3904708.1302,46.12,32.0598697068404,9.4556425030966,0.340101317624714,1.31689133902775,0.451339442372589,45.928338762215,100,23.27,23.326,23.35,23.39,23.43,23.468,23.52,23.554,23.62,23.94,33.977,36.482,36.679,42.148,43.195,43.948,44.661,45.18,45.504,0,0,0,0,0.326797385620915,51.6339869281046,54.2483660130719,67.6470588235294,68.3006535947712
"1428",11471637.5062,3904708.1302,46.89,33.080886981402,5.80847920980712,0.420600908905791,2.61284817386327,0.692917108198971,39.3419170243205,100,23.65,24.032,27.857,28.88,29.66,30.304,30.85,31.112,31.531,32.05,32.578,32.998,33.439,36.62,36.74,36.864,39.996,43.244,44.06,0,0,0,0,0.429799426934097,16.0458452722063,58.0229226361031,83.2378223495702,86.8194842406877
"1576",11471473.4642,3904675.3218,26.78,17.8517477203647,4.24794556667994,-0.464315919604898,4.1457170859385,0.816197257049377,49.2401215805471,100,11.0695,13.191,14.0065,14.668,15.26,15.891,16.4895,16.94,17.29,17.77,18.1535,18.642,19.1205,19.59,20.02,22.366,23.0145,23.665,24.6475,1.21765601217656,1.21765601217656,1.97869101978691,4.10958904109589,10.958904109589,31.5068493150685,60.882800608828,79.1476407914764,92.8462709284627
"1577",11471506.2726,3904675.3218,28.21,24.9521319796954,2.36835230574225,-1.05223412204948,3.5330322878696,0.606679037918647,58.8832487309645,100,19.482,22.1,22.6995,23.256,23.6925,24.206,24.441,24.914,25.07,25.46,25.7515,26.076,26.29,26.571,26.85,27.064,27.3005,27.45,27.6035,0,0,0,0,0,0,6.61577608142494,13.9949109414758,47.3282442748092
"1579",11471571.8894,3904675.3218,46.49,44.8841379310345,1.0053596103022,-0.58172856361999,2.48180340004297,0.365286431753103,55.1724137931034,100,42.9975,43.46,43.66,44.1,44.1875,44.37,44.6,44.74,44.895,45.07,45.23,45.42,45.4825,45.625,45.7375,45.8,45.8825,46.01,46.195,0,0,0,0,0,0,0,0,0
"1580",11471604.6978,3904675.3218,46.51,41.0072424722662,2.77938853669998,-0.204812976005038,2.29720345141369,0.625466391672697,51.8225039619651,100,36.17,37.13,37.895,38.5,39.005,39.48,39.96,40.37,40.77,41.15,41.515,41.87,42.3,42.67,43.145,43.63,44.16,44.71,45.38,0,0,0,0,0,0,0,10.4761904761905,59.8412698412698
"1729",11471473.4642,3904642.5134,41.73,31.8346307692308,5.65176181830266,-0.342486383785952,2.01350083343523,0.800083646939026,57.0769230769231,100,21.567,24.123,25.17,26.012,26.845,27.791,28.976,31.206,32.251,32.935,33.6995,34.37,35.074,35.789,36.45,37.112,37.8765,38.697,39.7865,0,0,0,0,3.23574730354391,13.8674884437596,35.7473035439137,52.8505392912173,82.8967642526965
"1730",11471506.2726,3904642.5134,46.77,41.0164220183486,4.57176125403951,-1.76298384355803,5.6254093744115,0.626899596246728,65.5963302752293,100,28.3425,36.949,38.6615,39.494,40.115,40.602,41.144,41.4,41.7765,42.03,42.3145,42.682,42.9605,43.376,43.7675,44.136,44.549,45.086,45.9735,0,0,0,0,0,3.2258064516129,9.21658986175115,10.5990783410138,52.5345622119816
"1731",11471539.081,3904642.5134,46.77,45.3317105263158,0.843981655658296,-0.526176002547332,2.48489463844431,0.331365154727825,57.8947368421053,100,43.73,44.16,44.2975,44.63,44.7725,44.91,45.14,45.25,45.36,45.43,45.565,45.65,45.8175,45.955,46.025,46.09,46.1575,46.235,46.415,0,0,0,0,0,0,0,0,0
"1732",11471571.8894,3904642.5134,46.33,41.7327495908347,2.65076524079041,-0.33424506206235,2.32494934602384,0.60977795507499,53.3551554828151,100,37.03,37.88,38.645,39.35,39.915,40.38,40.785,41.22,41.605,41.95,42.33,42.66,42.985,43.42,43.795,44.21,44.675,45.18,45.625,0,0,0,0,0,0,0,5.40983606557377,46.3934426229508
